Respondent_ID,Age_Group,Education_Degree,Income_Quartile,Political_Views,General_Happiness,Trust_Government,Trust_Press,Trust_Science,High_Institutional_Trust,Survey_Weight
GSS_2271,45-59,Junior College,Q3 (Mid-High),Extremely Conservative,Pretty Happy,1,1,4,0,1.0227
GSS_2272,60+,High School,Q2 (Mid-Low),Moderate,Pretty Happy,3,1,5,1,1.4939
GSS_2273,45-59,High School,Q2 (Mid-Low),Moderate,Not Too Happy,3,3,4,1,1.2516
GSS_2274,45-59,Bachelor,Q2 (Mid-Low),Liberal,Not Too Happy,5,1,2,1,1.413
GSS_2275,60+,Bachelor,Q2 (Mid-Low),Moderate,Not Too Happy,5,3,4,1,0.9532
GSS_2276,18-29,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,1,5,1,0,1.4017
GSS_2277,45-59,Junior College,Q1 (Low),Extremely Conservative,Not Too Happy,5,3,2,1,1.1381
GSS_2278,18-29,High School,Q1 (Low),Extremely Conservative,Pretty Happy,3,2,1,0,1.2345
GSS_2279,18-29,Lt High School,Q1 (Low),Moderate,Pretty Happy,5,3,3,1,0.5712
GSS_2280,45-59,Lt High School,Q4 (High),Moderate,Very Happy,1,3,4,0,1.5816
GSS_2281,30-44,High School,Q2 (Mid-Low),Conservative,Pretty Happy,3,5,2,0,1.4639
GSS_2282,30-44,Graduate,Q1 (Low),Liberal,Very Happy,1,3,5,0,0.8137
GSS_2283,18-29,Bachelor,Q1 (Low),Moderate,Very Happy,2,1,4,0,0.7095
GSS_2284,18-29,Bachelor,Q2 (Mid-Low),Extremely Conservative,Very Happy,5,4,1,0,0.6487
GSS_2285,18-29,High School,Q4 (High),Conservative,Pretty Happy,2,4,4,0,1.5683
GSS_2286,30-44,High School,Q2 (Mid-Low),Conservative,Pretty Happy,3,1,2,0,1.1411
GSS_2287,45-59,Bachelor,Q4 (High),Conservative,Very Happy,-9,5,1,0,0.6482
GSS_2288,18-29,Graduate,Q1 (Low),Liberal,Not Too Happy,-9,3,3,0,1.3684
GSS_2289,60+,High School,Q3 (Mid-High),Liberal,Not Too Happy,2,2,1,0,1.1202
GSS_2290,30-44,Bachelor,Q2 (Mid-Low),Extremely Conservative,Pretty Happy,1,3,5,0,1.2572
GSS_2291,45-59,Graduate,Q3 (Mid-High),Extremely Liberal,Pretty Happy,3,4,2,0,0.9193
GSS_2292,45-59,High School,Q2 (Mid-Low),Conservative,Pretty Happy,1,3,4,0,0.878
GSS_2293,60+,Bachelor,Q3 (Mid-High),Extremely Liberal,Very Happy,3,2,1,0,1.1464
GSS_2294,45-59,Graduate,Q3 (Mid-High),Extremely Conservative,Pretty Happy,4,5,1,0,1.1167
GSS_2295,30-44,High School,Q3 (Mid-High),Extremely Liberal,Not Too Happy,2,3,4,0,1.3722
GSS_2296,30-44,Bachelor,Q4 (High),Conservative,Not Too Happy,2,3,5,1,0.6628
GSS_2297,45-59,High School,Q2 (Mid-Low),Moderate,Very Happy,2,1,1,0,0.54
GSS_2298,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,5,4,3,1,1.1243
GSS_2299,30-44,Bachelor,Q4 (High),Liberal,Not Too Happy,3,2,1,0,0.7243
GSS_2300,45-59,Graduate,Q3 (Mid-High),Extremely Liberal,Pretty Happy,4,4,3,1,0.9024
GSS_2301,30-44,High School,Q3 (Mid-High),Extremely Conservative,Not Too Happy,5,1,4,1,0.5497
GSS_2302,18-29,High School,Q4 (High),Moderate,Pretty Happy,5,-9,2,1,1.3671
GSS_2303,45-59,High School,Q3 (Mid-High),Extremely Conservative,Not Too Happy,2,5,3,0,1.0551
GSS_2304,18-29,Junior College,Q4 (High),Moderate,Very Happy,2,1,5,1,0.8973
GSS_2305,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,-9,1,5,1,1.5623
GSS_2306,60+,Bachelor,Q4 (High),Moderate,Pretty Happy,3,5,3,0,1.4467
GSS_2307,30-44,High School,Q4 (High),Moderate,Very Happy,2,3,1,0,1.4305
GSS_2308,45-59,High School,Q4 (High),Conservative,Very Happy,2,5,5,1,1.1762
GSS_2309,30-44,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,5,1,0,0.9678
GSS_2310,45-59,High School,Q2 (Mid-Low),Moderate,Not Too Happy,4,1,5,1,0.9593
GSS_2311,45-59,Junior College,Q3 (Mid-High),Extremely Conservative,Very Happy,2,1,2,0,1.1179
GSS_2312,60+,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,4,2,1,1.0929
GSS_2313,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,3,4,2,0,1.0773
GSS_2314,30-44,Bachelor,Q4 (High),Moderate,Pretty Happy,5,2,2,1,0.5808
GSS_2315,30-44,Graduate,Q4 (High),Conservative,Pretty Happy,5,1,2,1,0.8899
GSS_2316,30-44,Lt High School,Q3 (Mid-High),Moderate,Pretty Happy,4,1,4,1,0.5817
GSS_2317,45-59,Bachelor,Q1 (Low),Moderate,Very Happy,2,1,2,0,1.4505
GSS_2318,60+,Lt High School,Q1 (Low),Extremely Conservative,Not Too Happy,4,3,3,1,0.6582
GSS_2319,60+,Lt High School,Q2 (Mid-Low),Moderate,Very Happy,2,3,2,0,1.1331
GSS_2320,30-44,High School,Q3 (Mid-High),Liberal,Not Too Happy,4,-9,5,1,0.982
GSS_2321,18-29,Lt High School,Q2 (Mid-Low),Moderate,Very Happy,4,1,5,1,1.2252
GSS_2322,60+,Bachelor,Q1 (Low),Extremely Liberal,Pretty Happy,5,1,2,1,1.2403
GSS_2323,30-44,High School,Q2 (Mid-Low),Conservative,Pretty Happy,1,5,4,0,0.5035
GSS_2324,45-59,High School,Q1 (Low),Moderate,Very Happy,4,1,1,0,1.5624
GSS_2325,45-59,Bachelor,Q3 (Mid-High),Liberal,Not Too Happy,1,1,1,0,1.455
GSS_2326,45-59,High School,Q4 (High),Liberal,Very Happy,4,5,3,1,0.826
GSS_2327,60+,Lt High School,Q1 (Low),Liberal,Pretty Happy,4,4,2,0,0.5492
GSS_2328,30-44,High School,Q1 (Low),Conservative,Not Too Happy,3,5,2,0,1.2675
GSS_2329,18-29,Bachelor,Q1 (Low),Moderate,Not Too Happy,2,4,4,0,1.4033
GSS_2330,18-29,High School,Q3 (Mid-High),Moderate,Not Too Happy,1,3,5,0,1.4418
GSS_2331,60+,Bachelor,Q2 (Mid-Low),Moderate,Not Too Happy,3,1,-9,0,0.9022
GSS_2332,30-44,Lt High School,Q4 (High),Conservative,Not Too Happy,4,5,5,1,0.7448
GSS_2333,30-44,High School,Q4 (High),Liberal,Very Happy,2,1,3,0,0.7745
GSS_2334,45-59,Junior College,Q1 (Low),Liberal,Pretty Happy,4,3,4,1,1.36
GSS_2335,30-44,Bachelor,Q3 (Mid-High),Moderate,Very Happy,2,1,3,0,0.5392
GSS_2336,45-59,High School,Q4 (High),Conservative,Very Happy,4,3,3,1,0.9757
GSS_2337,45-59,Graduate,Q1 (Low),Moderate,Pretty Happy,3,2,5,1,1.5834
GSS_2338,30-44,Bachelor,Q4 (High),Extremely Liberal,Pretty Happy,1,5,5,0,0.9559
GSS_2339,18-29,Bachelor,Q3 (Mid-High),Moderate,Not Too Happy,-9,3,3,0,1.2087
GSS_2340,60+,Bachelor,Q3 (Mid-High),Extremely Conservative,Not Too Happy,3,3,2,0,0.6773
GSS_2341,18-29,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,-9,2,1,0,1.291
GSS_2342,30-44,Lt High School,Q2 (Mid-Low),Conservative,Pretty Happy,4,5,3,1,0.6317
GSS_2343,60+,Junior College,Q1 (Low),Moderate,Very Happy,3,5,5,1,1.1894
GSS_2344,60+,Graduate,Q3 (Mid-High),Conservative,Pretty Happy,3,3,1,0,0.9216
GSS_2345,45-59,High School,Q4 (High),Conservative,Pretty Happy,4,2,5,1,1.1041
GSS_2346,60+,High School,Q3 (Mid-High),Liberal,Pretty Happy,1,2,4,0,1.1845
GSS_2347,45-59,High School,Q4 (High),Extremely Liberal,Pretty Happy,4,4,4,1,1.0185
GSS_2348,30-44,Bachelor,Q2 (Mid-Low),Extremely Conservative,Pretty Happy,5,2,1,0,0.6656
GSS_2349,30-44,Lt High School,Q1 (Low),Moderate,Pretty Happy,3,5,2,0,1.2034
GSS_2350,18-29,High School,Q2 (Mid-Low),Extremely Liberal,Very Happy,3,4,2,0,0.6171
GSS_2351,30-44,High School,Q4 (High),Liberal,Not Too Happy,3,2,5,1,0.611
GSS_2352,30-44,High School,Q4 (High),Conservative,Not Too Happy,3,4,5,1,0.6172
GSS_2353,30-44,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,2,2,2,0,1.417
GSS_2354,30-44,Lt High School,Q1 (Low),Moderate,Very Happy,2,1,3,0,1.1193
GSS_2355,60+,Graduate,Q1 (Low),Extremely Conservative,Very Happy,2,4,2,0,0.6015
GSS_2356,18-29,High School,Q1 (Low),Conservative,Not Too Happy,4,2,-9,1,1.54
GSS_2357,18-29,High School,Q4 (High),Moderate,Pretty Happy,3,2,3,0,1.5214
GSS_2358,45-59,Bachelor,Q1 (Low),Extremely Liberal,Pretty Happy,2,-9,1,0,1.1295
GSS_2359,30-44,High School,Q1 (Low),Conservative,Pretty Happy,4,1,3,1,1.4419
GSS_2360,60+,Graduate,Q3 (Mid-High),Extremely Liberal,Pretty Happy,5,-9,4,1,1.1103
GSS_2361,30-44,Bachelor,Q2 (Mid-Low),Liberal,Pretty Happy,1,-9,-9,0,0.8627
GSS_2362,60+,High School,Q3 (Mid-High),Extremely Liberal,Pretty Happy,4,5,1,0,0.6216
GSS_2363,18-29,Bachelor,Q1 (Low),Extremely Liberal,Very Happy,4,4,2,0,1.1728
GSS_2364,60+,Bachelor,Q3 (Mid-High),Liberal,Pretty Happy,5,3,4,1,0.5982
GSS_2365,60+,Bachelor,Q1 (Low),Liberal,Very Happy,5,4,2,1,1.5333
GSS_2366,60+,Bachelor,Q4 (High),Liberal,Not Too Happy,1,5,3,0,0.8683
GSS_2367,18-29,Graduate,Q2 (Mid-Low),Conservative,Pretty Happy,1,5,-9,0,1.0123
GSS_2368,60+,Lt High School,Q4 (High),Conservative,Pretty Happy,3,1,4,1,1.0383
GSS_2369,45-59,Lt High School,Q1 (Low),Conservative,Very Happy,3,2,3,0,0.5763
GSS_2370,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,3,2,1,0,1.2753
GSS_2371,30-44,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,5,2,5,1,0.9734
GSS_2372,60+,High School,Q4 (High),Conservative,Very Happy,1,1,-9,0,1.1214
GSS_2373,18-29,Bachelor,Q3 (Mid-High),Conservative,Very Happy,1,2,3,0,1.2032
GSS_2374,60+,High School,Q3 (Mid-High),Extremely Liberal,Not Too Happy,5,5,1,0,1.4601
GSS_2375,30-44,Junior College,Q4 (High),Liberal,Pretty Happy,5,2,5,1,1.5626
GSS_2376,30-44,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,2,1,0,1.3021
GSS_2377,30-44,High School,Q1 (Low),Conservative,Pretty Happy,1,3,3,0,1.4735
GSS_2378,60+,High School,Q3 (Mid-High),Moderate,Pretty Happy,3,4,3,0,0.5077
GSS_2379,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,4,2,5,1,1.5197
GSS_2380,60+,Junior College,Q4 (High),Extremely Liberal,Pretty Happy,4,1,4,1,1.3122
GSS_2381,18-29,High School,Q4 (High),Liberal,Pretty Happy,3,4,2,0,1.1799
GSS_2382,60+,Lt High School,Q2 (Mid-Low),Liberal,Pretty Happy,3,1,1,0,1.4369
GSS_2383,60+,High School,Q4 (High),Liberal,Pretty Happy,4,5,2,0,1.0131
GSS_2384,45-59,Graduate,Q1 (Low),Extremely Conservative,Pretty Happy,4,4,5,1,0.8786
GSS_2385,18-29,Junior College,Q2 (Mid-Low),Moderate,Not Too Happy,2,3,-9,0,1.382
GSS_2386,30-44,High School,Q1 (Low),Moderate,Very Happy,3,1,4,1,0.5391
GSS_2387,45-59,High School,Q2 (Mid-Low),Moderate,Pretty Happy,1,2,2,0,0.7717
GSS_2388,18-29,High School,Q3 (Mid-High),Liberal,Pretty Happy,1,3,2,0,0.5119
GSS_2389,60+,Lt High School,Q1 (Low),Conservative,Very Happy,5,4,2,1,1.0139
GSS_2390,18-29,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,1,4,5,0,0.907
GSS_2391,45-59,Lt High School,Q3 (Mid-High),Extremely Conservative,Not Too Happy,2,3,3,0,0.9321
GSS_2392,45-59,High School,Q3 (Mid-High),Conservative,Not Too Happy,2,3,-9,0,0.6156
GSS_2393,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,1,5,1,1.0255
GSS_2394,45-59,High School,Q4 (High),Conservative,Very Happy,2,2,4,0,0.6196
GSS_2395,60+,High School,Q1 (Low),Liberal,Not Too Happy,3,4,-9,0,1.2816
GSS_2396,45-59,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,5,2,4,1,0.5138
GSS_2397,45-59,High School,Q1 (Low),Conservative,Very Happy,1,5,-9,0,0.5125
GSS_2398,45-59,Bachelor,Q4 (High),Moderate,Pretty Happy,3,1,4,1,1.3783
GSS_2399,30-44,High School,Q2 (Mid-Low),Conservative,Pretty Happy,2,1,-9,0,1.0926
GSS_2400,30-44,High School,Q2 (Mid-Low),Conservative,Not Too Happy,5,3,4,1,1.372
GSS_2401,18-29,High School,Q4 (High),Moderate,Pretty Happy,4,5,5,1,0.6871
GSS_2402,18-29,High School,Q4 (High),Liberal,Pretty Happy,4,2,4,1,1.2892
GSS_2403,30-44,High School,Q4 (High),Extremely Conservative,Very Happy,5,5,5,1,1.319
GSS_2404,45-59,Junior College,Q3 (Mid-High),Liberal,Very Happy,4,3,5,1,1.0711
GSS_2405,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,4,4,3,1,1.234
GSS_2406,45-59,High School,Q4 (High),Extremely Conservative,Pretty Happy,1,4,2,0,1.2831
GSS_2407,45-59,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,2,-9,4,0,0.5921
GSS_2408,18-29,High School,Q1 (Low),Moderate,Pretty Happy,3,2,3,0,0.9781
GSS_2409,45-59,Graduate,Q2 (Mid-Low),Moderate,Very Happy,1,2,4,0,1.2847
GSS_2410,60+,High School,Q3 (Mid-High),Liberal,Not Too Happy,3,3,4,1,0.7007
GSS_2411,45-59,Bachelor,Q4 (High),Extremely Conservative,Pretty Happy,2,1,4,0,0.8595
GSS_2412,18-29,Graduate,Q4 (High),Moderate,Pretty Happy,3,3,5,1,0.5545
GSS_2413,30-44,Graduate,Q2 (Mid-Low),Conservative,Pretty Happy,5,4,1,0,0.9441
GSS_2414,30-44,Bachelor,Q3 (Mid-High),Liberal,Pretty Happy,3,4,3,0,0.923
GSS_2415,30-44,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,1,5,5,0,0.6214
GSS_2416,18-29,High School,Q3 (Mid-High),Liberal,Pretty Happy,2,1,4,0,0.7218
GSS_2417,60+,High School,Q4 (High),Liberal,Very Happy,-9,5,1,0,0.8033
GSS_2418,60+,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,2,1,2,0,0.698
GSS_2419,18-29,High School,Q3 (Mid-High),Moderate,Very Happy,5,4,4,1,1.3577
GSS_2420,30-44,High School,Q1 (Low),Conservative,Pretty Happy,4,1,1,0,0.9744
GSS_2421,18-29,High School,Q2 (Mid-Low),Moderate,Not Too Happy,5,3,4,1,0.6275
GSS_2422,30-44,Junior College,Q1 (Low),Moderate,Not Too Happy,4,3,-9,1,1.3087
GSS_2423,45-59,High School,Q2 (Mid-Low),Moderate,Very Happy,4,5,4,1,0.9877
GSS_2424,30-44,High School,Q3 (Mid-High),Moderate,Very Happy,2,5,5,1,1.5069
GSS_2425,30-44,Bachelor,Q3 (Mid-High),Conservative,Pretty Happy,3,4,2,0,0.8154
GSS_2426,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,4,-9,1,0,1.5219
GSS_2427,30-44,Bachelor,Q1 (Low),Liberal,Not Too Happy,5,3,3,1,1.095
GSS_2428,60+,High School,Q2 (Mid-Low),Conservative,Pretty Happy,5,1,-9,1,1.4867
GSS_2429,18-29,High School,Q4 (High),Moderate,Pretty Happy,1,1,4,0,1.0292
GSS_2430,30-44,High School,Q4 (High),Moderate,Pretty Happy,2,3,3,0,1.0438
GSS_2431,18-29,Bachelor,Q3 (Mid-High),Extremely Liberal,Very Happy,3,3,4,1,1.2777
GSS_2432,30-44,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,4,4,1,0.6566
GSS_2433,45-59,High School,Q1 (Low),Moderate,Pretty Happy,2,4,1,0,0.8886
GSS_2434,60+,Lt High School,Q4 (High),Extremely Liberal,Very Happy,2,4,1,0,0.8579
GSS_2435,60+,High School,Q3 (Mid-High),Liberal,Pretty Happy,3,4,3,0,1.0029
GSS_2436,30-44,High School,Q3 (Mid-High),Conservative,Pretty Happy,3,4,3,0,0.8745
GSS_2437,30-44,Graduate,Q1 (Low),Liberal,Pretty Happy,1,4,2,0,0.8608
GSS_2438,60+,Graduate,Q4 (High),Moderate,Pretty Happy,3,3,3,0,0.8951
GSS_2439,45-59,Lt High School,Q2 (Mid-Low),Conservative,Pretty Happy,-9,2,2,0,1.2868
GSS_2440,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,1,2,3,0,0.8431
GSS_2441,45-59,Lt High School,Q3 (Mid-High),Moderate,Very Happy,4,-9,2,0,1.5868
GSS_2442,60+,High School,Q4 (High),Moderate,Pretty Happy,2,3,1,0,1.092
GSS_2443,18-29,Bachelor,Q4 (High),Liberal,Not Too Happy,5,3,5,1,0.6626
GSS_2444,45-59,Lt High School,Q4 (High),Liberal,Pretty Happy,3,3,2,0,1.1348
GSS_2445,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,5,4,1,0,1.1124
GSS_2446,30-44,High School,Q2 (Mid-Low),Liberal,Very Happy,3,5,3,0,1.0192
GSS_2447,60+,Bachelor,Q2 (Mid-Low),Liberal,Pretty Happy,-9,5,5,1,1.4622
GSS_2448,30-44,High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,1,2,1,0.759
GSS_2449,60+,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,-9,5,1,0,1.2091
GSS_2450,45-59,High School,Q3 (Mid-High),Moderate,Pretty Happy,1,1,2,0,0.6294
GSS_2451,45-59,High School,Q3 (Mid-High),Moderate,Pretty Happy,5,4,3,1,1.5987
GSS_2452,60+,Bachelor,Q2 (Mid-Low),Moderate,Pretty Happy,4,2,1,0,1.562
GSS_2453,30-44,Graduate,Q2 (Mid-Low),Conservative,Pretty Happy,3,4,5,1,1.1774
GSS_2454,18-29,Bachelor,Q2 (Mid-Low),Liberal,Pretty Happy,4,1,3,1,0.8553
GSS_2455,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,1,1,1,0,1.3655
GSS_2456,60+,High School,Q2 (Mid-Low),Liberal,Not Too Happy,2,4,3,0,1.2802
GSS_2457,45-59,High School,Q3 (Mid-High),Conservative,Pretty Happy,5,2,4,1,1.4319
GSS_2458,45-59,High School,Q4 (High),Extremely Conservative,Very Happy,5,3,4,1,0.5933
GSS_2459,45-59,Bachelor,Q3 (Mid-High),Extremely Liberal,Very Happy,1,5,3,0,0.8062
GSS_2460,45-59,High School,Q4 (High),Moderate,Pretty Happy,1,1,1,0,0.8691
GSS_2461,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,2,3,5,1,1.0433
GSS_2462,30-44,Lt High School,Q3 (Mid-High),Liberal,Very Happy,3,5,1,0,1.2781
GSS_2463,30-44,High School,Q1 (Low),Moderate,Pretty Happy,2,3,1,0,1.5683
GSS_2464,30-44,Graduate,Q2 (Mid-Low),Liberal,Pretty Happy,1,2,4,0,1.5515
GSS_2465,45-59,High School,Q4 (High),Conservative,Pretty Happy,1,4,1,0,0.6481
GSS_2466,18-29,Bachelor,Q3 (Mid-High),Liberal,Pretty Happy,2,1,2,0,0.5772
GSS_2467,60+,High School,Q3 (Mid-High),Conservative,Pretty Happy,1,1,3,0,1.0206
GSS_2468,45-59,High School,Q1 (Low),Extremely Conservative,Pretty Happy,5,5,2,1,0.8736
GSS_2469,30-44,High School,Q3 (Mid-High),Conservative,Very Happy,3,1,1,0,1.0736
GSS_2470,60+,Bachelor,Q3 (Mid-High),Liberal,Pretty Happy,3,4,-9,0,0.9906
GSS_2471,30-44,High School,Q1 (Low),Conservative,Very Happy,5,2,5,1,0.6911
GSS_2472,30-44,Lt High School,Q1 (Low),Extremely Liberal,Pretty Happy,5,1,5,1,0.8613
GSS_2473,60+,Junior College,Q1 (Low),Extremely Liberal,Not Too Happy,5,5,2,1,0.9464
GSS_2474,30-44,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,2,3,3,0,1.0373
GSS_2475,45-59,Junior College,Q1 (Low),Liberal,Pretty Happy,5,2,1,0,1.5111
GSS_2476,18-29,High School,Q4 (High),Moderate,Pretty Happy,4,5,5,1,1.3024
GSS_2477,45-59,Lt High School,Q3 (Mid-High),Conservative,Pretty Happy,2,4,-9,0,0.7998
GSS_2478,18-29,Graduate,Q4 (High),Liberal,Very Happy,4,2,5,1,0.92
GSS_2479,30-44,Bachelor,Q2 (Mid-Low),Liberal,Pretty Happy,5,4,5,1,1.2923
GSS_2480,30-44,High School,Q3 (Mid-High),Conservative,Pretty Happy,4,3,3,1,0.775
GSS_2481,18-29,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,1,3,1,1.1788
GSS_2482,30-44,Junior College,Q3 (Mid-High),Moderate,Pretty Happy,5,-9,2,1,1.4788
GSS_2483,60+,High School,Q1 (Low),Moderate,Very Happy,3,4,2,0,1.161
GSS_2484,45-59,Graduate,Q2 (Mid-Low),Liberal,Very Happy,4,4,3,1,1.1542
GSS_2485,60+,High School,Q1 (Low),Liberal,Pretty Happy,5,2,5,1,1.2173
GSS_2486,18-29,Lt High School,Q3 (Mid-High),Conservative,Not Too Happy,4,3,1,0,1.1786
GSS_2487,30-44,Bachelor,Q1 (Low),Extremely Conservative,Pretty Happy,3,1,2,0,0.8373
GSS_2488,30-44,Bachelor,Q1 (Low),Moderate,Pretty Happy,4,1,2,0,0.7373
GSS_2489,18-29,Lt High School,Q2 (Mid-Low),Conservative,Not Too Happy,4,1,1,0,1.3072
GSS_2490,60+,Lt High School,Q1 (Low),Liberal,Pretty Happy,2,-9,3,0,1.2642
GSS_2491,18-29,High School,Q3 (Mid-High),Moderate,Not Too Happy,2,1,4,0,1.0243
GSS_2492,18-29,High School,Q1 (Low),Extremely Conservative,Pretty Happy,4,3,-9,1,0.7302
GSS_2493,30-44,Bachelor,Q3 (Mid-High),Conservative,Pretty Happy,1,2,3,0,0.6923
GSS_2494,60+,Bachelor,Q3 (Mid-High),Moderate,Not Too Happy,4,3,3,1,1.4874
GSS_2495,18-29,Bachelor,Q2 (Mid-Low),Extremely Liberal,Very Happy,2,5,3,0,0.7693
GSS_2496,45-59,High School,Q1 (Low),Moderate,Not Too Happy,-9,3,3,0,0.7248
GSS_2497,30-44,High School,Q1 (Low),Moderate,Not Too Happy,3,5,4,1,1.2447
GSS_2498,45-59,Junior College,Q2 (Mid-Low),Conservative,Pretty Happy,5,4,3,1,1.3722
GSS_2499,18-29,Bachelor,Q1 (Low),Conservative,Pretty Happy,3,-9,3,0,0.638
GSS_2500,45-59,High School,Q1 (Low),Moderate,Very Happy,1,5,2,0,1.1609
GSS_2501,30-44,Lt High School,Q1 (Low),Moderate,Very Happy,2,4,1,0,1.3188
GSS_2502,45-59,Graduate,Q4 (High),Moderate,Not Too Happy,5,1,-9,1,1.565
GSS_2503,45-59,High School,Q4 (High),Moderate,Pretty Happy,-9,1,3,0,1.532
GSS_2504,60+,Bachelor,Q3 (Mid-High),Extremely Conservative,Very Happy,2,2,3,0,1.2634
GSS_2505,45-59,High School,Q2 (Mid-Low),Conservative,Very Happy,2,5,3,0,1.5711
GSS_2506,18-29,Bachelor,Q1 (Low),Extremely Liberal,Pretty Happy,4,4,2,0,1.096
GSS_2507,30-44,Bachelor,Q1 (Low),Moderate,Not Too Happy,3,2,3,0,1.1327
GSS_2508,30-44,High School,Q3 (Mid-High),Extremely Liberal,Very Happy,1,5,1,0,0.5757
GSS_2509,45-59,High School,Q3 (Mid-High),Extremely Liberal,Pretty Happy,2,3,2,0,0.7003
GSS_2510,45-59,Junior College,Q1 (Low),Liberal,Very Happy,-9,2,4,1,1.0587
GSS_2511,45-59,High School,Q3 (Mid-High),Conservative,Not Too Happy,-9,3,2,0,0.9569
GSS_2512,30-44,High School,Q4 (High),Moderate,Pretty Happy,-9,3,2,0,1.3613
GSS_2513,18-29,High School,Q4 (High),Extremely Liberal,Not Too Happy,4,2,4,1,1.5106
GSS_2514,30-44,High School,Q1 (Low),Moderate,Pretty Happy,4,5,4,1,0.7719
GSS_2515,30-44,Graduate,Q3 (Mid-High),Conservative,Pretty Happy,4,3,4,1,0.864
GSS_2516,45-59,Bachelor,Q2 (Mid-Low),Conservative,Very Happy,5,-9,1,0,0.6087
GSS_2517,18-29,High School,Q1 (Low),Extremely Liberal,Not Too Happy,1,1,3,0,1.3114
GSS_2518,45-59,Junior College,Q2 (Mid-Low),Liberal,Pretty Happy,1,4,4,0,1.1415
GSS_2519,30-44,High School,Q2 (Mid-Low),Moderate,Not Too Happy,5,4,1,0,0.9256
GSS_2520,45-59,Bachelor,Q4 (High),Moderate,Pretty Happy,3,1,4,1,0.5112
GSS_2521,45-59,High School,Q3 (Mid-High),Moderate,Very Happy,5,4,5,1,1.4988
GSS_2522,30-44,Graduate,Q4 (High),Conservative,Very Happy,5,4,3,1,1.1727
GSS_2523,45-59,High School,Q4 (High),Liberal,Very Happy,3,2,4,1,0.63
GSS_2524,45-59,Lt High School,Q1 (Low),Conservative,Very Happy,-9,5,4,1,1.1615
GSS_2525,60+,High School,Q4 (High),Liberal,Very Happy,3,-9,2,0,1.0752
GSS_2526,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,4,5,4,1,0.8625
GSS_2527,30-44,High School,Q2 (Mid-Low),Conservative,Pretty Happy,3,2,5,1,0.7444
GSS_2528,30-44,High School,Q1 (Low),Conservative,Pretty Happy,2,2,5,1,1.4369
GSS_2529,30-44,Lt High School,Q4 (High),Extremely Liberal,Very Happy,1,2,1,0,1.5806
GSS_2530,60+,Junior College,Q2 (Mid-Low),Liberal,Pretty Happy,4,5,3,1,1.2083
GSS_2531,18-29,High School,Q1 (Low),Conservative,Not Too Happy,3,1,3,0,1.4278
GSS_2532,60+,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,2,3,3,0,0.7232
GSS_2533,18-29,High School,Q2 (Mid-Low),Moderate,Very Happy,4,3,4,1,1.1694
GSS_2534,30-44,High School,Q2 (Mid-Low),Conservative,Not Too Happy,2,1,2,0,1.2777
GSS_2535,45-59,High School,Q4 (High),Moderate,Pretty Happy,2,2,5,1,1.2053
GSS_2536,18-29,High School,Q2 (Mid-Low),Moderate,Not Too Happy,3,5,5,1,0.8146
GSS_2537,18-29,High School,Q3 (Mid-High),Moderate,Pretty Happy,2,2,2,0,1.252
GSS_2538,45-59,Lt High School,Q2 (Mid-Low),Liberal,Pretty Happy,5,3,5,1,0.875
GSS_2539,45-59,Bachelor,Q2 (Mid-Low),Moderate,Very Happy,4,-9,1,0,1.523
GSS_2540,30-44,High School,Q3 (Mid-High),Extremely Liberal,Not Too Happy,1,4,4,0,0.8015
GSS_2541,18-29,High School,Q3 (Mid-High),Extremely Liberal,Not Too Happy,1,5,2,0,1.4196
GSS_2542,18-29,Graduate,Q4 (High),Liberal,Pretty Happy,5,3,2,1,0.599
